song_id,song_name,duration_ms,url,popularity,song_added,album_id,artist_id
7tI8dRuH2Yc6RuoTjxo4dU,Who,170887,https://open.spotify.com/track/7tI8dRuH2Yc6RuoTjxo4dU,93,2024-08-02 09:09:10+00:00,15XcLhiVMlSOipUddTNDnr,1oSPZhvZMIrWW5I41kPkkY
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,210373,https://open.spotify.com/track/6dOtVTDdiauQNBQEDOtlAB,99,2024-08-02 09:09:10+00:00,7aJuG4TFXa2hmE4z1yxc3n,6qqNVTkY8uBg9cP3Jd7DAH
2qSkIjg1o9h3YT9RAgYN75,Espresso,175459,https://open.spotify.com/track/2qSkIjg1o9h3YT9RAgYN75,99,2024-08-02 09:09:10+00:00,5quMTd5zeI9yW5UDua8wS4,74KM79TiuVKeVCqs8QtB0B
5N3hjp1WNayUPZrA8kJmJP,Please Please Please,186365,https://open.spotify.com/track/5N3hjp1WNayUPZrA8kJmJP,98,2024-08-02 09:09:10+00:00,5bBaoign62r1i7OV8w7mi9,74KM79TiuVKeVCqs8QtB0B
6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,274192,https://open.spotify.com/track/6AI3ezQ4o3HUoP6Dhudph3,97,2024-08-02 09:09:10+00:00,5JjnoGJyOxfSZUZtk2rRwZ,2YZyLoL8N0Wb9xBt1NhZWg
6XjDF6nds4DE2BBbagZol6,Gata Only,222000,https://open.spotify.com/track/6XjDF6nds4DE2BBbagZol6,96,2024-08-02 09:09:10+00:00,5tSQtQGkrCJx3hoQxmLgfM,7CvTknweLr9feJtRGrpDBy
0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",218423,https://open.spotify.com/track/0WbMK4wrZ1wFSty9F7FCgu,96,2024-08-02 09:09:10+00:00,1WAjjRMfZjEXtB0lQrAw6Q,7GlBOeep6PqTfFi59PTUUN
6WatFBLVB0x077xWeoVc2k,Si Antes Te Hubiera Conocido,195824,https://open.spotify.com/track/6WatFBLVB0x077xWeoVc2k,95,2024-08-02 09:09:10+00:00,5ylbxH7EqpsmHZCRuiYewS,790FomKkXshlbRYZFtlgla
3xkHsmpQCBMytMJNiDf3Ii,Beautiful Things,180304,https://open.spotify.com/track/3xkHsmpQCBMytMJNiDf3Ii,91,2024-08-02 09:09:10+00:00,168CdR21lfn0TTyw1Pkdcm,22wbnEMDvgVIAGdFeek6ET
5fZJQrFKWQLb7FpJXZ1g7K,A Bar Song (Tipsy),171291,https://open.spotify.com/track/5fZJQrFKWQLb7FpJXZ1g7K,88,2024-08-02 09:09:10+00:00,0DLvFVIfwt3OHdK9kGeEM3,3y2cIKLjiOlp1Np37WiUdH
5Z0UnEtpLDQyYlWwgi8m9C,Too Sweet,251424,https://open.spotify.com/track/5Z0UnEtpLDQyYlWwgi8m9C,89,2024-08-02 09:09:10+00:00,3P4SQqMMgjqfqVxgLwtYRk,2FXC3k01G6Gw61bmprjgqS
5496lks6V3fh1mZAB6IAap,Alibi (with Pabllo Vittar & Yseult),161655,https://open.spotify.com/track/5496lks6V3fh1mZAB6IAap,92,2024-08-02 09:09:10+00:00,2m0euKZUDcoyEXHIS5MFCq,5MraexJKZDrQYzS98kNwie
7221xIgOnuakPdLqT0F3nP,I Had Some Help (Feat. Morgan Wallen),178205,https://open.spotify.com/track/7221xIgOnuakPdLqT0F3nP,95,2024-08-02 09:09:10+00:00,1woYXxyyxTQJ0E0AhZE6mj,246dkjvS1zLTtiykXe5h60
5AJ9hqTS2wcFQCELCFRO7A,MILLION DOLLAR BABY,155151,https://open.spotify.com/track/5AJ9hqTS2wcFQCELCFRO7A,95,2024-08-02 09:09:10+00:00,2Z1gnUf3nbn6DtwZSUIH54,1WaFQSHVGZQJTbf0BdxdNo
17phhZDn6oGtzMe56NuWvj,Lose Control,210688,https://open.spotify.com/track/17phhZDn6oGtzMe56NuWvj,91,2024-08-02 09:09:10+00:00,7nacKlk586eLRBSIsrk9DB,33qOK5uJ8AR2xuQQAhHump
3Vr3zh0r7ALn8VLqCiRR10,Stargazing,172533,https://open.spotify.com/track/3Vr3zh0r7ALn8VLqCiRR10,93,2024-08-02 09:09:10+00:00,3VNxRarx9HUI5w7DHv0TBj,3bO19AOone0ubCsfDXDtYt
3qhlB30KknSejmIvZZLjOD,End of Beginning,159245,https://open.spotify.com/track/3qhlB30KknSejmIvZZLjOD,93,2024-08-02 09:09:10+00:00,4JDXBZdRPId4devseaAOKH,5p9HO3XC5P3BLxJs5Mtrhm
62bOmKYxYg7dhrC6gH9vFn,Bye Bye Bye - From Deadpool and Wolverine Soundtrack,200400,https://open.spotify.com/track/62bOmKYxYg7dhrC6gH9vFn,83,2024-08-02 09:09:10+00:00,20RMokVwJ2wjQ0s8FOdOFC,6Ff53KvcvAj5U7Z1vojB5o
1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,178426,https://open.spotify.com/track/1BxfuPKGuaTgP7aM0Bbdwr,93,2024-08-02 09:09:10+00:00,1NAmidJlEaVgA3MpcPFYGq,06HL4z0CvFAxyc27GXpf02
1BJJbSX6muJVF2AK7uH1x4,Move,177598,https://open.spotify.com/track/1BJJbSX6muJVF2AK7uH1x4,90,2024-08-02 09:09:10+00:00,4M8ThNHbNjda2cPwL8XZHS,2loEsOijJ6XiGzWYFXMIRk
7CyPwkp0oE8Ro9Dd5CUDjW,"One Of The Girls (with JENNIE, Lily Rose Depp)",244684,https://open.spotify.com/track/7CyPwkp0oE8Ro9Dd5CUDjW,92,2024-08-02 09:09:10+00:00,7tzVd1fwkxsorytCBjEJkU,1Xyo4u8uXC1ZmMpatF05PJ
51ZQ1vr10ffzbwIjDCwqm4,we can't be friends (wait for your love),228639,https://open.spotify.com/track/51ZQ1vr10ffzbwIjDCwqm4,90,2024-08-02 09:09:10+00:00,5EYKrEDnKhhcNxGedaRQeK,66CXWjxzNUsdJxJ2JdwvnR
1CDQzbCz4KSQxHe7LMEgRM,Houdini,227032,https://open.spotify.com/track/1CDQzbCz4KSQxHe7LMEgRM,84,2024-08-02 09:09:10+00:00,3kjHLu1pL7tdY88GFwEkl6,7dGJo4pcD2V6oG8kP0tJRR
3hRV0jL3vUpRrcy398teAU,The Night We Met,208211,https://open.spotify.com/track/3hRV0jL3vUpRrcy398teAU,90,2024-08-02 09:09:10+00:00,4sD1qg4jwTZR4mvR4Iflk5,6ltzsmQQbmdoHHbLZ4ZN25
3JG1uFc40wfyrqaWC7iv0e,i like the way you kiss me,142514,https://open.spotify.com/track/3JG1uFc40wfyrqaWC7iv0e,78,2024-08-02 09:09:10+00:00,5nzSCZ7NhKvAysI0tmNOdD,0PCCGZ0wGLizHt2KZ7hhA2
1pymWRCuZfCd0zdiBJo0Hj,REAL GANGSTA LOVE,145342,https://open.spotify.com/track/1pymWRCuZfCd0zdiBJo0Hj,92,2024-08-02 09:09:10+00:00,3EWJoKrG9XnCjvAPzkQZ88,2x7PC78TmgqpEIjaGAZ0Oz
4Dvkj6JhhA12EX05fT7y2e,As It Was,167303,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e,92,2024-08-02 09:09:10+00:00,5r36AJ6VOJtp00oxSkBZ5h,6KImCVD70vtIoJWnq6nGn3
629DixmZGHc7ILtEntuiWE,LUNCH,179586,https://open.spotify.com/track/629DixmZGHc7ILtEntuiWE,93,2024-08-02 09:09:10+00:00,7aJuG4TFXa2hmE4z1yxc3n,6qqNVTkY8uBg9cP3Jd7DAH
2uqYupMHANxnwgeiXTZXzd,Austin (Boots Stop Workin'),171782,https://open.spotify.com/track/2uqYupMHANxnwgeiXTZXzd,91,2024-08-02 09:09:10+00:00,40HsqPqeSR9Xe3IyAJWr6e,7Ez6lTtSMjMf2YSYpukP1I
2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,240400,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6,91,2024-08-02 09:09:10+00:00,4xkM0BwLM9H2IUcbYzpcBI,77SW9BnxLY8rJ0RciFqkHh
42VsgItocQwOQC3XWZ8JNA,FE!N (feat. Playboi Carti),191700,https://open.spotify.com/track/42VsgItocQwOQC3XWZ8JNA,90,2024-08-02 09:09:10+00:00,18NOKLkZETa4sWwLMIm0UZ,0Y5tJX1MQlPlqiwlOH1tJY
5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,183956,https://open.spotify.com/track/5XeFesFbtLpXzIVDNQP22n,91,2024-08-02 09:09:10+00:00,78bpIziExqiI9qztvNFlQu,7Ln80lUS6He07XvHI8qqHH
1mea3bSkSGXuIRvnydlB5b,Viva La Vida,242373,https://open.spotify.com/track/1mea3bSkSGXuIRvnydlB5b,88,2024-08-02 09:09:10+00:00,1CEODgTmTwLyabvwd7HBty,4gzpq5DPGxSnKTe4SA8HAU
5uQ7de4EWjb3rkcFxyEOpu,Belong Together,148317,https://open.spotify.com/track/5uQ7de4EWjb3rkcFxyEOpu,92,2024-08-02 09:09:10+00:00,3PlCMwyq6nuQYtoYproV1o,11p2E654TTU8e0nZWBR4AL
7bywjHOc0wSjGGbj04XbVi,LUNA,196800,https://open.spotify.com/track/7bywjHOc0wSjGGbj04XbVi,91,2024-08-02 09:09:10+00:00,0lgs2Sa82lyX89nBUWyUy6,2LRoIwlKmHjgvigdNGBHNo
6vvPecFTmWxDfEJ6cYT1wa,Rockstar,138213,https://open.spotify.com/track/6vvPecFTmWxDfEJ6cYT1wa,93,2024-08-02 09:09:10+00:00,7wIIhHPyaxAHRvdNQQO2G9,5L1lO4eRHmJ7a0Q6csE5cT
2OzhQlSqBEmt7hmkYxfT6m,Fortnight (feat. Post Malone),228965,https://open.spotify.com/track/2OzhQlSqBEmt7hmkYxfT6m,91,2024-08-02 09:09:10+00:00,1Mo4aZ8pdj6L1jx8zSwJnt,06HL4z0CvFAxyc27GXpf02
57lsYy0OZLNb5OQ7fEa3Hs,Did It First (with Central Cee),118002,https://open.spotify.com/track/57lsYy0OZLNb5OQ7fEa3Hs,87,2024-08-02 09:09:10+00:00,1SiWjniEb94wSFZ5YjZDHr,3LZZPxNDGDFVSIPqf4JuEf
7BRD7x5pt8Lqa1eGYC4dzj,CHIHIRO,303440,https://open.spotify.com/track/7BRD7x5pt8Lqa1eGYC4dzj,92,2024-08-02 09:09:10+00:00,7aJuG4TFXa2hmE4z1yxc3n,6qqNVTkY8uBg9cP3Jd7DAH
6Qyc6fS4DsZjB2mRW9DsQs,Iris,289533,https://open.spotify.com/track/6Qyc6fS4DsZjB2mRW9DsQs,88,2024-08-02 09:09:10+00:00,4UMjBXcRqIgMZ1XumU2x5T,2sil8z5kiy4r76CRTXxBCA
4xdBrk0nFZaP54vvZj0yx7,HOT TO GO!,184841,https://open.spotify.com/track/4xdBrk0nFZaP54vvZj0yx7,90,2024-08-02 09:09:10+00:00,0EiI8ylL0FmWWpgHVTsZjZ,7GlBOeep6PqTfFi59PTUUN
4w2GLmK2wnioVnb5CPQeex,360,133805,https://open.spotify.com/track/4w2GLmK2wnioVnb5CPQeex,88,2024-08-02 09:09:10+00:00,2lIZef4lzdvZkiiCzvPKj7,25uiPmTg16RbhZWAqwLBy5
5crxqqibcvoOQQgg4HjAFQ,Guy For That (Feat. Luke Combs),164011,https://open.spotify.com/track/5crxqqibcvoOQQgg4HjAFQ,82,2024-08-02 09:09:10+00:00,6w0ujcFPqoqOzgzYsUWYXJ,246dkjvS1zLTtiykXe5h60
6a9Z1jUms915w4O7N1PxjY,Santa,193038,https://open.spotify.com/track/6a9Z1jUms915w4O7N1PxjY,84,2024-08-02 09:09:10+00:00,3uzutRS5qX4ng5Skjh5S6W,1fctva4kpRbg2k3v7kwRuS
331l3xABO0HMr1Kkyh2LZq,I Don't Wanna Wait,149667,https://open.spotify.com/track/331l3xABO0HMr1Kkyh2LZq,91,2024-08-02 09:09:10+00:00,0wCLHkBRKcndhMQQpeo8Ji,1Cs0zKBU1kc0i8ypK3B9ai
51eSHglvG1RJXtL3qI5trr,Slow It Down,161831,https://open.spotify.com/track/51eSHglvG1RJXtL3qI5trr,90,2024-08-02 09:09:10+00:00,168CdR21lfn0TTyw1Pkdcm,22wbnEMDvgVIAGdFeek6ET
7iabz12vAuVQYyekFIWJxD,BAND4BAND (feat. Lil Baby),140733,https://open.spotify.com/track/7iabz12vAuVQYyekFIWJxD,91,2024-08-02 09:09:10+00:00,4AzPr5SUpNF553eC1d3aRy,5H4yInM5zmHqpKIoMNAx4r
2btNsI4OvcVl7SAHQQDHFB,Mirame,157453,https://open.spotify.com/track/2btNsI4OvcVl7SAHQQDHFB,88,2024-08-02 09:09:10+00:00,5oCAS6VzHoESewtXUGMqbz,1TA5sGRlKUJXBN4ZyJuDIX
5b3XJ1pjrHO5JtY2PcTjnI,Mamushi (feat. Yuki Chiba),156988,https://open.spotify.com/track/5b3XJ1pjrHO5JtY2PcTjnI,87,2024-08-02 09:09:10+00:00,0FzWvaeMBfKBCqxHTLVlB8,181bsRPaVXVlUKXrxwZfHK
0mflMxspEfB0VbI1kyLiAv,Stick Season,182346,https://open.spotify.com/track/0mflMxspEfB0VbI1kyLiAv,90,2024-08-02 09:09:10+00:00,50ZenUP4O2Q5eCy2NRNvuz,2RQXRUsr4IW1f3mKyKsy4B
